iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
PSE,Asia,Palestine,2023-09-06,703228.0,0.0,0.0,5708.0,0.0,0.0,133946.251,0.0,0.0,1087.222,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708,5250076.0,,,,
PAN,North America,Panama,2023-09-06,1047321.0,0.0,0.0,8652.0,0.0,0.0,237564.142,0.0,0.0,1962.536,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4408582.0,,,,
PNG,Oceania,Papua New Guinea,2023-09-06,46864.0,0.0,0.0,670.0,0.0,0.0,4620.5,0.0,0.0,66.058,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,10142625.0,,,,
PRY,South America,Paraguay,2023-09-06,735759.0,0.0,0.0,19961.0,0.0,0.0,108507.104,0.0,0.0,2943.777,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,,,,
PER,South America,Peru,2023-09-06,4517034.0,0.0,0.0,221364.0,0.0,0.0,132660.46,0.0,0.0,6501.224,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,34049588.0,,,,
PHL,Asia,Philippines,2023-09-06,4110205.0,688.0,187.286,66661.0,0.0,0.0,35568.019,5.954,1.621,576.857,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,115559008.0,,,,
PCN,Oceania,Pitcairn,2023-09-06,4.0,0.0,0.0,,0.0,0.0,85106.383,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,
POL,Europe,Poland,2023-09-06,6518924.0,0.0,0.0,119638.0,0.0,0.0,163557.228,0.0,0.0,3001.67,0.0,0.0,,,,,,,,,,,,,,,,,,,58025255.0,22877095.0,22649000.0,15388065.0,55.0,55.0,145.58,57.4,56.83,38.61,1.0,10.0,0.0,,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,,,,
PRT,Europe,Portugal,2023-09-06,5610180.0,0.0,0.0,27247.0,0.0,0.0,546223.163,0.0,0.0,2652.846,0.0,0.0,,,,,,,,,,,,,,,,,,,28196689.0,9791341.0,8906354.0,7056661.0,,37.0,274.53,95.33,86.71,68.71,4.0,5.0,0.0,,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,,,,
PRI,North America,Puerto Rico,2023-09-06,1252713.0,0.0,0.0,5938.0,0.0,0.0,385164.303,0.0,0.0,1825.722,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,,3252412.0,,,,
QAT,Asia,Qatar,2023-09-06,514524.0,0.0,0.0,690.0,0.0,0.0,190908.716,0.0,0.0,256.017,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,2695131.0,,,,
REU,Africa,Reunion,2023-09-06,494595.0,0.0,0.0,921.0,0.0,0.0,507765.419,0.0,0.0,945.525,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,6.841,,,,,,,,,80.48,,974062.0,,,,
ROU,Europe,Romania,2023-09-06,3421949.0,4772.0,681.714,68282.0,12.0,1.714,174062.872,242.735,34.676,3473.272,0.61,0.087,,41.0,2.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,19659270.0,,,,
RUS,Europe,Russia,2023-09-06,22994849.0,5217.0,1188.714,399999.0,16.0,3.857,158899.335,36.051,8.214,2764.079,0.111,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,144713312.0,,,,
